Time,PPV_NOOYC,HOSE_DSXOXF,HOSE_DNXOXF,HOSE_DSXAXF,HOSE_DNXAXX,HOSE_IXXAXX,HOSE_IXAOXX,FIRE_FA2S1C1NCX1_1,FIRE_FA2S1C1NCX1_2,FIRE_FA2S1C1NCX1_3,Test_1_East_062514,Test_2_East_062514,Test_3_East_062514,Test_4_East_062514,Test_5_East_062614,Test_6_East_062614,Test_7_East_062714,Test_8_East_062714,Test_9_East_062714,Test_10_East_062714,Test_11_East_062714,Test_12_East_062914,Test_13_East_062914,Test_14_West_063014,Test_15_West_063014,Test_16_West_063014,Test_17_West_063014,Test_17b_West_063014,Test_18_West_063014,Test_19_West_063014,Test_20_West_063014,Test_21_East_070114,Test_22_West_070214,Test_23_West_070214,Test_24_West_070214,Test_25_West_070214,Test_26_East_070714,Test_27_West_070814,Test_28_East_070814,Test_29_West_071014
1650,,,,Fixed straight stream at Door BC,Hose fixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,,,,,,,,,Door A to fire room vented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st flood A door closed,,,,,,,
1680,,,,Hose rotated right,Hose rotated left,,,,,,,BC door opened,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,,,,Hose fixed,Hose fixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,,,,Hose rotated left,Rear door opened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760,,,,,,,,,"Handline attack from C Doors, moved in for suppression, SS, 95 gpm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,,,,Hose fixed,Hose rotated right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,,,,Rear door opened,Hose fixed,,,,,,,CD door opened,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,,,,Hose rotated right,Hose rotated left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,,,,Hose fixed,Hose fixed,,,,,,,A door opened,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890,,,,Hose rotated left,Rear door closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,,,,Hose fixed,Water flow stopped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,,,,,,,,,,,,,,,,,,,,All burners ignited,,,,,,,,,,,,,,,,,,,,
1950,,,,Rear door closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,,,,Water flow stopped,,,,,,,,Right burner off,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,CD door closed,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,BC door closed,,,,,,,,,,,,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,Roof vent closed,,,,,,,,,,,,,,,,,,,,,,,,,
2040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2070,,,,,,,,,,,,,,,Left burner ignited,,,,,,,,,,,,,,,,,,,,,,,,,
2085,,,,,,,,,,,,,,,Center burner ignited,,,,,,,,,,,,,,,,,,,,,,,,,
2100,,,,,,,,,,"Handline attack from C Doors, moved in for suppression SS, 95 gpm",,Center burner off,,,Right burnered ignited,,,,,,,,,,,,,,,,,,,,,,,,,
2130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2190,,,,,,,,,,,,,,,Roof vent opened,,,,,,,,,,,,,,,,,,,,,,,,,
2220,,,,,,,,,,,,Left burner off,,,,,,,,,,,,,,,,,,,,,,,,,,,,
