Time (s),Center TC 01,Center TC 02,Center TC 03,Center TC 04,Center TC 05,Center TC 06,Center TC 07,Center TC 08,Center TC 09,Center TC 10,Center TC 11,Center TC 12,,North Heat Flux,South Heat Flux,Average HF
146,675.5364363,583.8082149,504.7254278,412.4187517,389.4886418,316.0142727,251.1831901,198.2919426,167.2000923,149.4244335,145.0861529,124.834822,,1.907680674,2.192787877,2.050234276
147,667.9026645,589.5982218,507.7112669,418.6153716,387.9325626,307.6009431,244.1248832,193.8331078,164.6941989,146.0547293,140.1540721,121.0232801,,1.869607923,2.226356559,2.047982241
148,642.2070302,571.2162392,495.70873,410.7491662,380.0840228,301.996972,241.8206225,190.31523,163.4570674,144.9352998,139.0259178,120.9131199,,1.906669893,2.16941529,2.038042592
149,617.2919398,550.1721033,477.562807,397.2637073,371.1168055,297.9203603,239.4532455,190.1753379,162.510933,143.5400503,137.0624969,119.4395982,,1.896562083,2.242513448,2.069537766
150,619.5490946,529.0854207,464.4974727,386.6768531,359.7552579,291.5391948,235.2704401,187.8707488,160.5243156,141.9679194,134.8666582,118.0241334,,1.780996122,2.219140861,2.000068492
151,652.6527961,535.9082328,462.1734842,383.9229937,353.1403814,286.3311604,231.0098568,184.6896071,158.771158,140.7018085,134.0414008,117.0407363,,1.798179399,2.4313765,2.11477795
152,635.2491368,518.269045,450.0209388,376.0299891,344.7703034,281.0917175,228.0721722,181.3583044,155.8950937,138.2222716,133.0509045,115.7860902,,1.764149772,2.484082468,2.12411612
153,616.6380373,510.3469382,441.8890033,368.3329592,336.9437789,277.1701549,224.4528282,179.160669,153.8088058,135.5618688,132.1017358,117.911585,,1.862195529,2.453494183,2.157844856
154,608.5265113,509.6371254,440.3558212,369.9991345,339.4627527,277.77055,223.6660223,179.348801,154.6258003,136.9732444,135.0734588,120.8173296,,1.84635996,2.478749126,2.162554543
155,599.5650941,501.3979685,436.0580598,368.0168143,338.5847865,278.8087571,224.2098606,177.7443763,155.4452946,138.663233,137.6451765,124.1453975,,1.875335682,2.45804321,2.166689446
156,589.4893379,486.9515692,429.9392801,359.375375,333.0694052,274.3348727,218.8192298,174.0670962,152.5341626,136.4734745,136.4954233,123.8833627,,1.919136192,2.418984323,2.169060258
157,597.0199037,478.7127091,426.1881564,355.1924268,330.1292034,269.8797315,216.4775328,173.8141522,151.3168966,136.3432218,133.2133138,119.3182088,,1.85646777,2.34823911,2.10235344
158,631.0642905,501.9558379,434.7141006,354.025156,332.0611322,271.3092844,216.2226152,174.666441,150.8313007,135.6602704,132.1929239,118.2731177,,1.863543237,2.3372587,2.100400969
159,659.7612353,563.0186761,472.4970445,372.45733,356.7172259,289.6634697,225.6836788,176.8239133,149.7850239,133.1393508,132.2301127,119.808444,,1.937667177,2.282513513,2.110090345
