Time,PUF 1,PUF 2,PUF 3,PUF 4
478,-0.0101909,0,-0.0064576,-0.0004036
479,-0.0107962,0.0033297,-0.008072,-0.0039351
480,-0.0097873,0.0047423,-0.0072648,-0.0034306
481,-0.0106954,0.0025225,-0.0092828,-0.0071639
482,-0.002018,0.0012108,-0.0093837,-0.0068612
483,-0.0004036,0.0017153,-0.0084756,-0.0066594
484,-0.0084756,-0.0031279,-0.0088792,-0.0051459
485,-0.0125115,0.0018162,-0.0092828,-0.0064576
486,-0.0072648,0,-0.0061549,-0.0054486
487,-0.0089801,-0.0016144,-0.0084756,-0.0022198
488,-0.0048432,-0.0032288,-0.0093837,-0.0011099
489,-0.0048432,-0.0004036,-0.0125116,-0.0042378
490,-0.0078702,0.0002018,-0.007063,-0.0024216
491,-0.0033297,0.0019171,-0.0081729,0
492,-0.0065585,0.0016144,-0.0086774,-0.0077692
493,-0.0055495,0.0017153,-0.0104936,-0.0051459
494,-0.0138232,0.0007063,-0.012108,-0.0041369
495,-0.0053477,-0.0012108,-0.0072648,-0.0023207
496,-0.0047423,-0.0015135,-0.0091819,-0.0054486
497,-0.004036,-0.0056504,-0.005045,-0.0078701
498,-0.0009081,-0.003027,-0.0052468,-0.0088791
499,-0.001009,-0.0023207,-0.0055495,-0.0058522
500,-0.0005045,-0.0024216,-0.0051459,-0.0047423
501,0.0037333,-0.0041369,-0.0044396,-0.0024216
502,0.0054486,-0.0003027,-0.0048432,-0.0026234
503,0.0079711,-0.0003027,-0.001009,-0.0063567
504,0.0032288,-0.0059531,0.0012108,-0.005045
505,0.0017153,-0.0072648,0.0008072,-0.005045
506,-0.0069621,-0.0035315,0.005045,-0.0036324
507,-0.0057513,-0.002018,0.0053477,-0.0033297
508,-0.0071639,-0.0012108,0.0055495,-0.0059531
509,-0.007063,-0.0037333,0.0038342,-0.0049441
510,-0.0066594,-0.007063,0.0042378,-0.0063567
511,-0.0037333,-0.0053477,0.0016144,-0.0085764
